subtopic_id,Subtopic,internal_id,Indicator,short_name,label,description,message
104,Active Design,2390,Bicycle Network Coverage,Bike lanes,Bicycle Network Coverage,"The percent of streets with bike lanes can affect cyclist and pedestrian safety, physical activity, and sustainable transportation use. ",Bicycle Network Coverage
104,Active Design,2181,Sidewalk Area,Sidewalk area,Sidewalk Area,"<p>Sidewalks are a critical component of New York City residents&rsquo; commute. Ample sidewalks in neighborhoods are important for commuting, businesses, and physical activity. Greater sidewalk area facilitates safer pedestrian traffic that, in turn, attracts businesses and fosters community. &ldquo;Sidewalk area&rdquo; measures the percent of a neighborhood that is covered by sidewalk area.</p>",Sidewalk Area
104,Active Design,2158,Subway Station Density,,Subway Station Density,"<p>Many New Yorkers rely on the subway as their primary mode of transportation. Neighborhoods with greater subway access tend to have more foot traffic, making surrounding real estate highly desirable for residents and business. Subway use encourages active transportation (walking, biking), which improves the health of residents.</p>",Density of subway stations per km2.
,,,,,,,
,,,,,,,The New York City Subway information was originally obtained from the New York
,,,,,,,City Transit Authority in 1998. The data was realigned to the NYCMap basemap in 2002.
,,,,,,,"In November of 2006, a major shape update included PDF Subway System maps being"
,,,,,,,downloaded from the MTA/NYC Transit web-site. Community Cartography updated the
,,,,,,,"existing GIS files using on-screen digitizing and the downloaded subway maps. In August of 2007, station locations were spatially adjusted to align to the NYCMap streets at a map scale of 1:2,400. For more information, please visit the MTA Transit web-site at: www.mta.nyc.ny.us/nyct/maps/subwaymap.pdf."
104,Active Design,2157,Tree Canopy Cover,Tree shade,Tree Canopy Cover,"<p>The number of trees and the area shaded by them influences many neighborhood factors, such as attractiveness and lower summer temperatures that, in turn, encourage residents and visitors to walk and do other physical activity. &ldquo;Tree canopy cover&rdquo; measures the percent of a neighborhood that is covered (or shaded) by trees.</p>",
,,,,,,,"The number of trees and the area shaded by them influences many neighborhood factors, such as attractiveness and lower summer temperatures that, in turn, encourage residents and visitors to walk and do other physical activity. Tree canopy cover measures the percent of a neighborhood that is covered (or shaded) by trees."
,,,,,,,
,,,,,,,"Tree canopy cover represents a 'top down' mapping perspective in which tree canopy over-hanging city features (such as sidewalks) is measured. The percent is calculated by dividing the area of tree canopy in km2 within the UHF neighborhood by the total land area (excluding inland water bodies). Higher percentages indicate greater tree canopy cover, with zero representing no tree canopy cover."
,,,,,,,
,,,,,,,"For more information, visit  http://beh.columbia.edu/."
104,Active Design,2389,Unhealthy Food Access,,Unhealthy Food Access,,Food Access
104,Active Design,2143,Vegetative Cover,Grass and tree cover,Vegetative Cover,"<p>Vegetative cover is the land covered by trees, grass, or other plants. This area is not covered by a hard surface such as paved roads, sidewalks, or buildings. <a href=""https://www.epa.gov/heat-islands/using-trees-and-vegetation-reduce-heat-islands"">Vegetative cover tends to reduce temperatures in the immediate area</a>.</p>","Percent of area with vegetative cover, including grass and trees"
104,Active Design,2133,Walkability Index (Infrastructure),Walkability,Walkability Index (Infrastructure),"<p>Walkability indices summarize built environment features believed to promote walking, focusing on neighborhood infrastructure. Some potentially important characteristics are usually not included, such as neighborhood safety or attractiveness, like number of street trees.</p>",Summary indicator of built environment features believed to promote walking
,,,,,,"<p>For this index, higher scores indicate greater walkability. NYC neighborhoods range in walkability index (infrastructure) score from -4.0 to 9.4, with zero representing an approximate average for the City as a whole.</p>",
104,Active Design,2388,Walking Distance to a Park,Park access,Walking Distance to a Park,"<p>Walking distance to a park is defined as 1/4-mile or less to entrances of smaller sites, such as sitting areas and playgrounds, and 1/2-mile or less to entrances of larger parks. Parks and open space that are not under the NYC Parks Department jurisdiction are also included.</p>",Walking Distance to a Park
104,Active Design,2391,Walking Distance to a Subway Station,Subway access,Walking Distance to a Subway Station,<p>Percentage of population within a quarter-mile of a subway station entrance.</p>,Walking distance to a subway station
122,Air Quality,92,Air Quality Advisory Days,,Air Quality Advisory Days,,Air Quality Advisory Days due to Ozone or PM 2.5 Levels above Regulatory Standard
122,Air Quality,2024,Black Carbon,Black carbon,Black Carbon,"Black carbon is a major component of fine particulate matter (PM) in the air. Particulate matter is easily inhaled into the lungs and can contribute to both short-term acute health effects, as well as long-term chronic illness.",
122,Air Quality,57,Fine Particulate Matter (PM 2.5),,Fine Particulate Matter (PM <sub>2.5</sub>),,
122,Air Quality,2023,Fine Particulate Matter (PM2.5),PM2.5 (Fine particles),Fine Particulate Matter (PM<sub>2.5</sub>),"Fine particles are emitted by vehicles, building boilers, and other combustion - and are a major form of air pollution that harms health.",
122,Air Quality,2028,Nitric Oxide (NO),Nitric oxide,Nitric Oxide (NO),"Nitrogen oxides (NOx), which include nitric oxide (NO) and nitrogen dioxide (NO2), are a group of pollutants formed by combusion that can cause damage to lung tissue, breathing and respiratory problems, as well as contribute to smog and acid rain.",
122,Air Quality,2025,Nitrogen Dioxide (NO2),Nitrogen dioxide,Nitrogen Dioxide (NO2),"Nitrogen oxides (NOx), which include nitric oxide (NO) and nitrogen dioxide (NO2), are a group of pollutants formed by combusion that can cause damage to lung tissue, breathing and respiratory problems, as well as contribute to smog and acid rain.",
122,Air Quality,55,Ozone,,Ozone,,Maximum 8-Hour Average Ozone Concentration over the National Ambient Air Quality Standard
122,Air Quality,2027,Ozone (O3),Ozone,Ozone (O3),Ozone is a common air pollutant that can harm breathing and worsen asthma and other respiratory conditions.,
122,Air Quality,2026,Sulfur Dioxide (SO2),Sulfur dioxide,Sulfur Dioxide (SO2),"Sulfur dioxide comes from burning certain types of fuel oil. As an air pollutant, it can can worsen lung diseases.",
95,Alcohol Access,2049,Access to Alcohol,,Access to Alcohol,,
95,Alcohol Access,2057,Youth Access to Alcohol,,Youth Access to Alcohol,,
97,Alcohol Use,2050,Adults Reporting Heavy Drinking,,Adults Reporting Heavy Drinking,,
97,Alcohol Use,2051,Adults Who Binge Drink,,Adults Who Binge Drink,,
97,Alcohol Use,2056,Underage Drinking,,Underage Drinking,,
97,Alcohol Use,2055,Youth Who Binge Drink,,Youth Who Binge Drink,,
11,Asthma,2414,Adults with Asthma,Adults with Asthma,Adults with Asthma,<p>Adults with Asthma</p>,
11,Asthma,18,Adults with Asthma in the Past 12 Months,Asthma (adults),Adults with asthma in the past 12 months,"<p>Asthma is a common disease characterized by breathing difficulty. Environmental exposures resulting from poor air quality and housing maintenance are known to increase risk of asthma development and trigger asthma symptoms. <strong style=""color: red;""> Beginning in 2017, indicator includes data imputed for missing responses.</strong></p>",
11,Asthma,2380,Asthma Emergency Department Visits (Adults),Asthma ED visits (adults),Adults,"Severe asthma attacks can result in a visit to the ED. Certain exposures can trigger asthma symptoms, including smoke, air pollution, dust mites, cockroaches, mold, pollen and pet dander, among others.",Asthma Emergency Department Visits (Adults)
11,Asthma,2384,Asthma Emergency Department Visits (Adults) by NTA,,Adults - small area neighborhood (NTA),,Asthma Emergency Department Visits (Adults) by NTA
11,Asthma,2048,Asthma Emergency Department Visits (Children 0 to 4 Yrs Old),,Children ages 0 to 4,,
11,Asthma,2378,Asthma Emergency Department Visits (Children 0 to 4 Yrs Old) by NTA,,Children ages 0 to 4 - small area neighborhood (NTA),,Asthma Emergency Department Visits (Children 0 to 4 Yrs Old) by NTA
11,Asthma,2379,Asthma Emergency Department Visits (Children 5 to 17 Yrs Old),Asthma ED visits (children),Children ages 5 to 17,"Severe asthma attacks can result in a visit to the ED. Certain exposures can trigger asthma symptoms, including smoke, air pollution, dust mites, cockroaches, mold, pollen and pet dander, among others.",Asthma Emergency Department Visits (Children 5 to 17 Yrs Old)
11,Asthma,2383,Asthma Emergency Department Visits (Children 5 to 17 Yrs Old) by NTA,,Children ages 5 to 17 - small area neighborhood (NTA),,Asthma Emergency Department Visits (Children 5 to 17 Yrs Old) by NTA
11,Asthma,2382,Asthma Hospitalizations (Adults),Asthma hospitalizations (adults),Adults,"Asthma hospitalizations are more severe asthma outcomes. They're often clustered in high-poverty neighborhoods, where disinvestment and poor housing conditions expose residents to triggers.",Asthma Hospitalizations (Adults)
11,Asthma,2387,Asthma Hospitalizations (Adults) by NTA,,Adults - small area neighborhood (NTA),,Asthma Hospitalizations (Adults) by NTA
11,Asthma,84,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Asthma hospitalizations (0 to 4),Children ages 0 to 4,"Asthma hospitalizations are more severe asthma outcomes. They're often clustered in high-poverty neighborhoods, where disinvestment and poor housing conditions expose residents to triggers.",
11,Asthma,2381,Asthma Hospitalizations (Children 5 to 17 Yrs Old),Asthma hospitalizations (children),Children ages 5 to 17,"Asthma hospitalizations are more severe asthma outcomes. They're often clustered in high-poverty neighborhoods, where disinvestment and poor housing conditions expose residents to triggers.",Asthma Hospitalizations (Children 5 to 17 Yrs Old)
11,Asthma,2386,Asthma Hospitalizations (Children 5 to 17 Yrs Old) by NTA,,Children ages 5 to 17 - small area neighborhood (NTA),,Asthma Hospitalizations (Children 5 to 17 Yrs Old) by NTA
11,Asthma,2392,Children ever diagnosed with asthma (ages 0-13 years),,Children ever diagnosed with asthma (ages 0-13 years),,Ever Diagnosed with Asthma
11,Asthma,2317,Jail Incarceration,,Jail Incarceration,"<p>Each component of the criminal justice continuum - from arrest to re-entry - carries various health consequences, and a growing body of literature has documented severe adverse health outcomes associated with incarceration on the individual, their families, and neighbourhoods.&nbsp;</p>",Jail Incarceration
,,,,,,"<p>(<a class=""exitlink"" href=""http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(17)30569-X/abstract"">""Structural Racism and Health Inequities in the USA: Evidence and Interventions&rdquo;</a><span>, by Zinzi D Bailey, ScD; Professor Nancy Krieger, PhD; Madina Ag&eacute;nor, ScD; Jasmine Graves, MPH; Natalia Linos, ScD; and Dr. Mary T. Bassett, MD)</span>&nbsp;</p>",
11,Asthma,2147,Public School Children (5-14 Yrs Old) with Asthma,Asthma (public school children),Public school children (age 5-14) with asthma,Asthma is a common disease characterized by breathing difficulty. Environmental exposures resulting from poor air quality and housing maintenance are known to increase risk of asthma development and trigger asthma symptoms.,
