internal_id,Indicator,indicator_id,measurement_type_id,Measure,how_calculated,display_type_id,DisplayType_desc,source_id,Source,SourceDescription,public_display_flag
1,Preterm Birth,1,2,Number,"<p>Number of live, singleton births occurring at less than 37 weeks gestation among residents of an area. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",10,,4,NYC BVS,New York City Bureau of Vital Statistics,Y
1,Preterm Birth,2,5,Percent,"<p>Number of live, singleton births occurring at less than 37 weeks gestation among residents of an area, divided by the number of live, singleton births with nonmissing gestational age among residents of the area; expressed as percent. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",10,,4,NYC BVS,New York City Bureau of Vital Statistics,Y
2,Very Preterm Birth,3,2,Number,"<p>Number of live, singleton births occurring at less than 32 weeks gestation among residents of an area. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",10,,4,NYC BVS,New York City Bureau of Vital Statistics,Y
2,Very Preterm Birth,4,5,Percent,"<p>Number of live, singleton births occurring at less than 32 weeks gestation among residents of an area, divided by the number of live, singleton births with nonmissing gestational age among residents of the area; expressed as percent. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",10,,4,NYC BVS,New York City Bureau of Vital Statistics,Y
3,Very Low Birthweight,5,2,Number,"<p>Number of live, singleton births with a birthweight less than 1,500 grams (3 lbs 5 oz) among residents of an area. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",10,,4,NYC BVS,New York City Bureau of Vital Statistics,Y
3,Very Low Birthweight,6,5,Percent,"<p>Number of live, singleton births with a birthweight less than 1,500 grams (3 lbs 5 oz) among residents of an area, divided by the number of live, singleton births with nonmissing birthweight among residents of the area; expressed as percent. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",10,,4,NYC BVS,New York City Bureau of Vital Statistics,Y
4,Low Birthweight at Full Term,7,2,Number,"<p>Number of live, singleton, term births with a birthweight less than 2,500 grams (5 lbs, 8 oz) among residents of an area. Term births are those with a gestational age of 37 weeks or more. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",10,,4,NYC BVS,New York City Bureau of Vital Statistics,Y
4,Low Birthweight at Full Term,8,5,Percent,"<p>Number of live, singleton, term births with a birthweight less than 2,500 grams (5 lbs 8 oz) among residents of an area, divided by the total number of live, singleton, term births with nonmissing birthweight among residents of the area; expressed as percent. All births are restricted to those with a gestational age of 37 weeks or more. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",10,,4,NYC BVS,New York City Bureau of Vital Statistics,Y
5,Infant Death,9,2,Number,"<p>Number of deaths occurring at less than 1 year of age. Infant deaths are restricted to those that can be linked to a birth certificate of a NYC resident mother and are mapped to the mother's usual residence at birth. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",10,,4,NYC BVS,New York City Bureau of Vital Statistics,Y
5,Infant Death,10,1,Estimated Annual Rate,"<p>Number of deaths occurring at less than 1 year of age in an area, divided by the number of live births among resident mothers of the area; expressed as cases per 1,000 live births. Infant deaths are restricted to those that can be linked to a birth certificate of a NYC resident mother and are mapped to the mother's usual residence at birth. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",5,"per 1,000 live births",4,NYC BVS,New York City Bureau of Vital Statistics,Y
