subtopic_id,Subtopic,internal_id,Indicator,short_name,label,description,message
104,Active Design,2390,Bicycle network coverage,Bike lanes,Bicycle network coverage,"Bike lanes can improve bicyclist and pedestrian safety, physical activity, and sustainable transportation use. An increase in percentage of streets with bike lanes can indicate a safer cycling environment in a neighborhood which may increase overall cycling.",
104,Active Design,2181,Sidewalk area,Sidewalk area,Sidewalk area,"Sidewalks are important for commuting, businesses, and physical activity. Greater sidewalk area can contribute to a safer pedestrian environment, support vibrant business districts and can foster social interaction among residents.",
104,Active Design,2158,Subway station density,Subway station density,Subway station density,"Neighborhoods with greater subway access encourage active transportation, which may increase physical activity and overall health of residents. They also tend to have more foot traffic, which attracts businesses and can foster community.",
104,Active Design,2157,Tree canopy cover,Tree shade,Tree canopy cover,"Tree canopy coverage is the percent of a neighborhood that is shaded by trees. Tree shade can lower a neighborhood's temperatures, can make it more comfortable and attractive to walk and stay active.",
104,Active Design,2389,Unhealthy food access,Unhealthy food access,Unhealthy food access,"A neighborhood's ratio of bodegas to supermarkets can indicate whether the environment makes accessing unhealthy food easier for residents, as bodegas are less likely to have healthy food options than supermarkets.",
104,Active Design,2143,Vegetative cover,Grass and tree cover,Grass and tree cover,"Vegetative cover is the land covered by trees, grass, or other plants instead of a hard surface like roads, sidewalks, or buildings. Vegetative cover tends to reduce temperatures in the immediate area and may increase air quality.",
104,Active Design,2133,Walkability index,Walkability,Walkability index,"This score summarizes features that promote walking, including density of residences, intersections, subway stops, and retail area. Higher scores indicate greater walkability. Neighborhoods range  from -4.0 to 9.4, with zero as an approximate NYC average. This indicator excludes some factors that may impact access and walkability, like maintenance, ADA access, neighborhood safety, and street trees.",
104,Active Design,2388,Walking distance to a park,Park access,Park access (walking distance),"The percentage of the population who live within walking distance to a park: a quarter-mile or less to entrances of smaller sites, such as sitting areas and playgrounds, and half-mile or less to entrances of larger parks. Increased access to green space and open space can contribute to increased levels of physical activity.",
104,Active Design,2391,Walking distance to a subway station,Subway access,Subway access (walking distance),"The percentage of population within a quarter-mile of a subway station entrance. When more people have convenient access to the transit system, they're more likely to use it. Subway access encourages active transportation, which improves the health of residents.",
122,Air Quality,92,Air quality action days,Air quality action days,Air quality action days,"Action days for sensitive groups are counted when either ozone or PM2.5 levels are above 100, and for the general population when levels are above 150.",
122,Air Quality,2024,Black carbon,Black carbon,Black carbon,"Black carbon is a major component of fine particles in the air. Fine particles are easily inhaled and contribute to both short-term acute health effects, as well as long-term chronic illness.",
122,Air Quality,57,Fine particles (PM 2.5),PM2.5 (Fine particles),Fine particles (PM 2.5),"Fine particles are emitted by vehicles, building boilers, and other combustion - and are a major form of air pollution that harms health.",
122,Air Quality,2023,Fine particles (PM 2.5),PM2.5 (Fine particles),Fine particles (PM 2.5),"Fine particles are emitted by vehicles, building boilers, and other combustion - and are a major form of air pollution that harms health.",
122,Air Quality,2028,Nitric oxide (NOx),Nitric oxide,Nitric oxide (NOx),"Nitrogen oxides (NOx), including nitric oxide (NO) and nitrogen dioxide (NO2), are a group of pollutants formed by combusion that damage lung tissue, cause breathing problems, and contribute to smog and acid rain.",
122,Air Quality,2025,Nitrogen dioxide (NO2),Nitrogen dioxide,Nitrogen dioxide (NO2),"Nitrogen dioxide is a pollutant formed by combusion that damage lung tissue, cause breathing problems, and contribute to smog and acid rain.",
122,Air Quality,55,Ozone,,Ozone,Ozone is a common air pollutant that can harm breathing and worsen asthma and other respiratory conditions.,
122,Air Quality,2027,Ozone (O3),Ozone,Ozone (O3),Ozone is a common air pollutant that can harm breathing and worsen asthma and other respiratory conditions.,
122,Air Quality,2026,Sulfur dioxide (SO2),Sulfur dioxide,Sulfur dioxide (SO2),"Sulfur dioxide comes from burning some kinds of fuel oil. As an air pollutant, it can can worsen lung diseases.",
95,Alcohol Access,2049,Alcohol access,Alcohol access,Alcohol access,Greater alcohol outlet density has been associated with a variety of health effects.,
